Team,W-D-L _home,freekicks_for_home_team,freekicks_against_home_team,% _home,W-D-L_away  ,freekicks_for_away_team,freekicks_against_away_team,%_away
Adelaide,182-24-134,6580,5968,110.25,103-18-219,5875,6702,87.66
Brisbane Bears,65-5-39,2724,2497,109.09,44-3-62,2568,2694,95.32
Brisbane Lions,129-15-132,4918,4906,100.24,103-12-160,4815,5272,91.33
Carlton,325-36-256,16485,16050,102.71,242-32-343,15865,16945,93.63
Collingwood,356-31-230,16684,15441,108.05,273-29-311,15864,16007,99.11
Essendon,345-30-241,16918,15930,106.2,235-41-341,15685,16589,94.55
Fitzroy,214-21-107,11902,10668,111.57,194-13-135,11487,10948,104.92
Fremantle,159-20-120,5751,5384,106.82,101-20-175,4941,5561,88.85
Geelong,336-31-250,17001,15952,106.58,235-37-341,15488,16326,94.87
Gold Coast,55-11-57,2264,2216,102.17,45-11-64,2071,2243,92.33
Greater Western Sydney,57-3-50,2099,2071,101.35,37-5-69,1944,2244,86.63
Hawthorn,253-41-322,15815,16487,95.92,191-38-388,15126,17173,88.08
Melbourne,289-33-295,15598,15454,100.93,236-40-338,15555,16665,93.34
North Melbourne,345-24-248,16110,15542,103.65,257-44-317,15292,16078,95.11
Port Adelaide,175-16-85,5397,4781,112.88,107-16-152,4902,5418,90.48
Richmond,312-24-279,15854,15702,100.97,253-29-334,15785,16840,93.74
St Kilda,347-38-226,16896,15681,107.75,250-43-327,16041,16456,97.48
Sydney,319-44-251,16469,15647,105.25,246-36-338,16327,16882,96.71
West Coast,257-26-103,8245,7088,116.32,160-31-192,7426,7761,95.68
Western Bulldogs,390-38-188,17578,15633,112.44,304-41-272,16295,16124,101.06
