Year,Kicks,Marks,Handballs,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Free Kicks For,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,Disposals
2000,201.1,83.1,111.1,15.2,10,30.1,31.9,34.6,55.7,38.1,33,17.9,130.5,179.7,13.3,14.2,26.1,11.2,,284.2
2001,192.2,83.1,108.8,14.2,9.7,29.1,35.6,31.6,51.4,36.6,22.7,17,120.4,178.1,13,13.9,26,11.6,,275.3
2002,183.8,78.7,109.9,13.8,9.6,31.6,43,31.7,50.7,36.1,36.6,15,115.7,177.6,12.2,12.6,44.7,13.6,,262.5
2003,186.3,82.5,108.1,13.8,9.6,32.7,42.9,32,50.4,35.2,38.7,15.2,121.7,170.4,12.5,12.9,43.2,13.3,7.6,268.8
2004,183.4,82.9,108.7,13.5,9.5,33.6,45.1,35.6,50,33.8,38.2,14.8,116.8,172.3,11.1,12.9,44.5,12.9,7.4,266.3
2005,191.8,91.3,117.8,13.8,9.3,30.8,43.9,36.5,50.2,32.6,42.4,17.2,114.8,192.7,9.6,13.1,45.4,16.1,7.8,283.1
2006,207.1,108.9,131.9,13.4,9.6,30.1,49.1,37.8,50.1,31.5,43.4,16.7,113.9,223.1,9.6,14.3,45.1,20.7,7.5,316
2007,201.9,103.5,143.1,13.8,9.7,31.3,52.8,34,51.2,32,46.6,19,117.1,226.2,10.1,14.1,46.9,19.2,9.3,305.4
2008,200,103.5,154.9,14.2,9.4,32.3,53.6,32.8,49.9,32.3,47.2,20.2,117.7,236.3,9.9,13.9,42.7,17.8,9.5,303.5
2009,196.9,97.4,177.1,13.3,9.5,35.8,62.1,33.1,49.2,34.1,43.4,17.9,124.1,246.9,10.3,13.1,44.5,15.1,9.1,294.3
2010,201,94.4,168.6,13.1,9.6,36.1,67.6,33.5,50.1,35.1,45.1,19.3,133.8,231.5,11.5,12.2,47.6,11.2,8.4,295.4
2011,205.1,86.9,154.4,13.5,9.7,39.3,69,34.4,51.7,38,47.3,20.2,144.5,213.1,12.8,11.8,53.1,9.8,8.7,292
2012,206,88.1,151,13.3,9.6,39.7,63.7,33.3,51.2,37.7,46,18.9,141.6,213.5,11.6,11.3,49.7,10,8.7,294.1
2013,207,88.3,151.6,13.4,9.4,39.5,63,33.3,50.7,37.4,45,18.1,140.1,216.1,10.7,11.7,44.3,11.1,9.1,295.3
2014,205.3,88,157.4,12.6,8.9,40.9,66.3,33.7,50.3,38.2,43.8,16.7,137.4,222.5,9.6,11.1,49.9,9.8,8.5,293.3
2015,204,90.3,159.7,12.6,8.6,43,65.6,33.9,50.4,38.8,46.4,18.1,136.3,226.4,10.7,11.7,43.1,7.7,8.6,294.3
2016,205.4,88.5,170,12.9,9.1,39.7,69.8,35.2,52.2,36.7,50.6,18.8,142.6,232.8,11.4,12,48.1,6.6,8.9,293.9
2017,211.1,93.3,171.1,12.9,9.5,39.9,68.5,35.6,52.3,36.8,53.7,18.8,142.6,239.1,11.2,12.1,46.8,7,8.9,304.4
2018,212.5,90.1,161.3,12,9,38.9,64.9,37,52.6,36.7,55.8,20.5,145.5,228.8,10.9,11.1,50.6,6,8.2,302.6
2019,219.2,91.3,151.5,11.6,8.6,38.5,62.6,39.3,51.9,38.1,54.9,18.8,144.2,221.2,11.4,11.1,51,5.6,8,310.5
2020,174.7,70.1,121.1,8.8,6.4,29.6,50.5,31.8,41.5,30,46.4,16,117.9,173.7,9.1,8.4,42.7,3.2,5.8,244.8
2021,217.9,94.6,147.4,11.5,8.5,34.4,57.4,39,51.4,35.6,57.1,19.1,136,223.8,11.5,11.5,48.9,5.3,8,312.5
