Year,Brownlow_votes,Home_Away_Team
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Away
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Home
2017,1,Away
2017,1,Away
2017,1,Home
2017,1,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Away
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Away
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Home
2017,2,Away
2017,2,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Away
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Away
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
2017,3,Home
